article,lvl2,main,up,location,href,meter_1,meter_2,pix_1,pix_2,name,in_rub,hronometraz,v_sutki,dney,anonce_code,anonce
Kazan'023,/respublika-tatarstan,Rossija,Respublika Tatarstan,Kazan',/respublika-tatarstan/kazan/bolshaya-krylovka-vakhitova,3,6,1728,864,Bol'shaja Krylovka - Vahitova,19804,5,1440,7,53477415,Tsifrovoj bilbord
Kazan'024,/respublika-tatarstan,Rossija,Respublika Tatarstan,Kazan',/respublika-tatarstan/kazan/vakhitova-bolshaya-krylovka-v-storonu-dekabristov,3,6,2880,1440,Vahitova - Bol'shaja Krylovka (v storonu Dekabristov),23268,5,1440,7,53477415,Tsifrovoj bilbord
Kazan'025,/respublika-tatarstan,Rossija,Respublika Tatarstan,Kazan',/respublika-tatarstan/kazan/bolshaya-krylovka-povorot-na-ul-lenskaya,3,6,1728,864,Bol'shaja Krylovka (povorot na ul. Lenskaja),18134,5,1440,7,53477415,Tsifrovoj bilbord
Kazan'026,/respublika-tatarstan,Rossija,Respublika Tatarstan,Kazan',/respublika-tatarstan/kazan/bolshaya-krylovka-krasnokokshayskaya,3,6,2880,1440,Bol'shaja Krylovka - Krasnokokshajskaja,19804,5,1440,7,53477415,Tsifrovoj bilbord
Kazan'027,/respublika-tatarstan,Rossija,Respublika Tatarstan,Kazan',/respublika-tatarstan/kazan/vakhitova-4,3,6,1728,864,Vahitova; 4,21488,5,1440,7,53477415,Tsifrovoj bilbord
Kazan'028,/respublika-tatarstan,Rossija,Respublika Tatarstan,Kazan',/respublika-tatarstan/kazan/vakhitova-8,3,6,1728,864,Vahitova; 8,21488,5,1440,7,53477415,Tsifrovoj bilbord
Kazan'029,/respublika-tatarstan,Rossija,Respublika Tatarstan,Kazan',/respublika-tatarstan/kazan/vakhitova-yarullina,3,6,1728,864,Vahitova - Jarullina,23268,5,1440,7,53477415,Tsifrovoj bilbord
Kazan'030,/respublika-tatarstan,Rossija,Respublika Tatarstan,Kazan',/respublika-tatarstan/kazan/vakhitova-5a,3,6,2880,1440,Vahitova; 5A,23268,5,1440,7,53477415,Tsifrovoj bilbord
Kaliningrad001,/kaliningradskaya-oblast,Rossija,Kaliningradskaja oblast',Kaliningrad,/kaliningradskaya-oblast/kaliningrad/shevchenko-leninskiy-storona-a,12,9,320,240,Shevchenko - Leninskij (storona A),19257,10,120,10,53477215,Svetodiodnyj ekran
Kaliningrad002,/kaliningradskaya-oblast,Rossija,Kaliningradskaja oblast',Kaliningrad,/kaliningradskaya-oblast/kaliningrad/shevchenko-leninskiy-storona-b,12,9,320,240,Shevchenko - Leninskij (storona V),19257,10,120,10,53477215,Svetodiodnyj ekran
